evidence_id,entity_id,entity_type,entity_review_status,source_id,source_type,source_status,source_path,parsed_path,cleaned_path,chunk_count,chunk_sample_ids,case_observation_count,generated_by
concept_as_relationship__rfc7908,concept_as_relationship,BGPConcept,approved,rfc7908,standard,complete_deterministic,raw/standards/rfc7908.txt,parsed/standards/rfc7908.json,cleaned/standards/rfc7908.md,15,rfc7908_s005_2_001|rfc7908_s017_2013_001|rfc7908_s013_4_001|rfc7908_s003_6_001|rfc7908_s004_1_001|rfc7908_s006_3_001|rfc7908_s007_3_1_001|rfc7908_s008_3_2_001|rfc7908_s009_3_3_001|rfc7908_s010_3_4_001|rfc7908_s011_3_5_001|rfc7908_s012_3_6_001|rfc7908_s015_6_001|rfc7908_s016_2012_001|rfc7908_s017_2013_002,0,scripts/build_entity_source_evidence.py
concept_asn__context_2026,concept_asn,BGPConcept,approved,context_2026,manual_note,manual_note,../context.md,,,5,context_2026_as_path_001|context_2026_paper_bear_001|context_2026_datasource_001|context_2026_route_leak_001|context_2026_scope_001,0,scripts/build_entity_source_evidence.py
concept_asn__rfc4271,concept_asn,BGPConcept,approved,rfc4271,standard,complete_deterministic,raw/standards/rfc4271.txt,parsed/standards/rfc4271.json,cleaned/standards/rfc4271.md,129,rfc4271_s021_2_002|rfc4271_s029_5_1_2_001|rfc4271_s029_5_1_2_002|rfc4271_s033_5_1_6_001|rfc4271_s034_5_1_7_001|rfc4271_s045_8_001|rfc4271_s064_9_1_2_2_001|rfc4271_s073_9_2_2_2_002|rfc4271_s081_6_003|rfc4271_s081_6_004|rfc4271_s021_2_001|rfc4271_s072_9_2_2_1_001|rfc4271_s005_1_001|rfc4271_s009_3_002|rfc4271_s011_3_2_001|rfc4271_s014_4_2_001|rfc4271_s015_4_3_002|rfc4271_s024_6_001|rfc4271_s031_5_1_4_001|rfc4271_s037_6_2_001,0,scripts/build_entity_source_evidence.py
concept_bgp__context_2026,concept_bgp,BGPConcept,approved,context_2026,manual_note,manual_note,../context.md,,,5,context_2026_paper_bear_001|context_2026_as_path_001|context_2026_datasource_001|context_2026_route_leak_001|context_2026_scope_001,0,scripts/build_entity_source_evidence.py
concept_bgp__rfc4271,concept_bgp,BGPConcept,approved,rfc4271,standard,complete_deterministic,raw/standards/rfc4271.txt,parsed/standards/rfc4271.json,cleaned/standards/rfc4271.md,129,rfc4271_s005_1_001|rfc4271_s009_3_001|rfc4271_s081_6_010|rfc4271_s009_3_002|rfc4271_s006_1_1_001|rfc4271_s006_1_1_002|rfc4271_s011_3_2_001|rfc4271_s009_3_003|rfc4271_s009_3_004|rfc4271_s010_3_1_001|rfc4271_s011_3_2_002|rfc4271_s014_4_2_001|rfc4271_s026_4_002|rfc4271_s029_5_1_2_001|rfc4271_s037_6_2_001|rfc4271_s038_6_3_002|rfc4271_s043_6_8_001|rfc4271_s044_7_001|rfc4271_s045_8_001|rfc4271_s060_9_1_001,0,scripts/build_entity_source_evidence.py
concept_bgp_session__context_2026,concept_bgp_session,BGPConcept,approved,context_2026,manual_note,manual_note,../context.md,,,5,context_2026_paper_bear_001|context_2026_as_path_001|context_2026_datasource_001|context_2026_route_leak_001|context_2026_scope_001,0,scripts/build_entity_source_evidence.py
concept_bgp_session__rfc4271,concept_bgp_session,BGPConcept,approved,rfc4271,standard,complete_deterministic,raw/standards/rfc4271.txt,parsed/standards/rfc4271.json,cleaned/standards/rfc4271.md,129,rfc4271_s045_8_001|rfc4271_s081_6_009|rfc4271_s005_1_001|rfc4271_s009_3_002|rfc4271_s011_3_2_001|rfc4271_s046_10_001|rfc4271_s047_8_1_1_001|rfc4271_s047_8_1_1_002|rfc4271_s047_8_1_1_003|rfc4271_s047_8_1_1_004|rfc4271_s048_8_1_2_001|rfc4271_s048_8_1_2_002|rfc4271_s052_8_2_1_001|rfc4271_s055_8_2_1_3_001|rfc4271_s058_8_2_2_005|rfc4271_s060_9_1_001|rfc4271_s076_10_003|rfc4271_s081_6_002|rfc4271_s004_10_001|rfc4271_s006_1_1_001,0,scripts/build_entity_source_evidence.py
concept_bgp_session__ripe_ris_docs,concept_bgp_session,BGPConcept,approved,ripe_ris_docs,data_doc,complete_deterministic,raw/data_docs/ripe_ris_docs.html,parsed/data_docs/ripe_ris_docs.json,cleaned/data_docs/ripe_ris_docs.md,1,ripe_ris_docs_s001_full_001,0,scripts/build_entity_source_evidence.py
concept_bgp_speaker__context_2026,concept_bgp_speaker,BGPConcept,approved,context_2026,manual_note,manual_note,../context.md,,,5,context_2026_paper_bear_001|context_2026_as_path_001|context_2026_datasource_001|context_2026_route_leak_001|context_2026_scope_001,0,scripts/build_entity_source_evidence.py
concept_bgp_speaker__rfc4271,concept_bgp_speaker,BGPConcept,approved,rfc4271,standard,complete_deterministic,raw/standards/rfc4271.txt,parsed/standards/rfc4271.json,cleaned/standards/rfc4271.md,129,rfc4271_s006_1_1_001|rfc4271_s006_1_1_002|rfc4271_s009_3_001|rfc4271_s011_3_2_001|rfc4271_s021_2_001|rfc4271_s030_5_1_3_001|rfc4271_s030_5_1_3_002|rfc4271_s062_9_1_2_002|rfc4271_s066_9_1_4_002|rfc4271_s067_9_2_001|rfc4271_s073_9_2_2_2_001|rfc4271_s076_10_002|rfc4271_s076_10_003|rfc4271_s076_10_004|rfc4271_s009_3_003|rfc4271_s063_9_1_2_1_001|rfc4271_s064_9_1_2_2_001|rfc4271_s064_9_1_2_2_004|rfc4271_s005_1_001|rfc4271_s009_3_002,0,scripts/build_entity_source_evidence.py
