artifact_path,artifact_group,extension,size_bytes,line_count,is_binary,sha256,generated_by
published/chunk_catalog.jsonl,published,.jsonl,1438186,2037,False,1ec50fc89aa37c514db707dd955cf0b7afb0baeaaaff13798e1ac7ad7fcb37b3,scripts/build_published_knowledge_base.py
published/data_dictionary.json,published,.json,102576,3705,False,96d3534b8f6c8b8dcdc6c7033feb0c813ca23a2f2509662cd733f650a2a1147c,scripts/build_data_dictionary.py
published/embedding_manifest.json,published,.json,401,13,False,c1ea564ec79d6372565a1747569cdd0c9ce64629ea1b4d42b925d6402ab9d4bb,scripts/build_rag_indexes.py
published/entity_catalog.jsonl,published,.jsonl,121250,112,False,701aaf52394f017b2671971d8391ad1c438b12d850d9bb214c18678d93f3e12a,scripts/build_published_knowledge_base.py
published/integrity_summary.json,published,.json,8950,338,False,0011ff5f3302ce8f7b2c13e8c8fe8f8468100e5d992938aafa33f46244ecb8a6,scripts/build_published_integrity_report.py
published/jsonld_context.json,published,.json,842,29,False,8a204624e9116c8d2f3845866086d8b38879e4d528cb6b2409798e9d42900eb5,scripts/build_semantic_identity.py
published/lexical_index.json,published,.json,452779,16284,False,ad01c33f43f8f6fd9c143d6ed7b4568018949b8c6337308d33d1dcac0d44818f,scripts/build_published_knowledge_base.py
published/manifest.json,published,.json,2066,70,False,7d329d7f80f9b1204af122b3c96f533d605f8595eec934fb5ed99cfef998a2bc,scripts/build_published_knowledge_base.py
published/rag_mock_vector_index.jsonl,published,.jsonl,1359605,2037,False,308434ed098ce9e6bacf77e4b1d3686e68b742d5f3807810c4a30554f9b360bb,scripts/build_rag_indexes.py
published/rag_retrieval_index.json,published,.json,622,25,False,42b63174d08113dfbf7acc8b40f72af1e2c9f88842091773eab2d2ea4fad8210,scripts/build_rag_indexes.py
published/readiness_summary.json,published,.json,4792,168,False,c8fd6d551d2d2b6e046a708c160a90abe416537cfdf5b9ff8d683658e9ed60cd,scripts/build_readiness_report.py
published/relationship_adjacency.json,published,.json,74288,2901,False,ccf9c18add341dac2a2113ea0f717554db57cf42358e7f60a1270aee33fcf8fe,scripts/build_published_knowledge_base.py
published/semantic_id_map.jsonl,published,.jsonl,1263523,2555,False,8fa619f7a9a2cb20581769629d786d1f198b096222acf7b12b1807fc0ebc69a1,scripts/build_semantic_identity.py
published/source_catalog.jsonl,published,.jsonl,30259,54,False,b044ffa3065192f9492fbceab909986327a98abac6b00ad613453c4cf136c1b9,scripts/build_published_knowledge_base.py
published/sqlite_schema.sql,published,.sql,16754,491,False,d896939c0b139dfa7bf10a1bcc29c618b50aaf6bd5f17ba609c0ffbcf6276dfc,scripts/build_sqlite_knowledge_base.py
raw/cases/aws_route53_crypto_hijack_2018.html,raw,.html,323876,155,False,ef1a489267c2067d3034ad45242a8ee37c8bbcf753957528e7d5e60d1023c48f,manual_or_collected_source
raw/cases/cert_eu_china_telecom_route_leak_2019.pdf,raw,.pdf,77056,0,True,8a01ee709853c923ce3fb84f4c6f3fb8c3f2ede858803f3e4baff56cfe145b08,manual_or_collected_source
raw/cases/china_telecom_europe_route_leak_2019.html,raw,.html,161584,1945,False,df254f14be36f1eab72cf14183e2ca9923e1e279776b06fa1b22bb90264ebaf5,manual_or_collected_source
raw/cases/cloudflare_outage_2026.html,raw,.html,420015,272,False,207eac51d49142b92c33caa45472e49dfe2c22227fc0ba662299cc0d74df6450,manual_or_collected_source
raw/cases/cloudflare_verizon_route_leak_2019.html,raw,.html,329603,114,False,633e1487fa43d31bd2f1ef0ead554e7b143dfa5691e656ae3804d556ccdcd236,manual_or_collected_source
raw/cases/facebook_outage_cloudflare_2021.html,raw,.html,291376,188,False,96bdd14e0ce3b085e08ce0caac55da1c3f0205a300fa3c08f41d2bd4f7f818c2,manual_or_collected_source
raw/cases/facebook_outage_meta_2021.html,raw,.html,88320,1220,False,d32e498a27386e3c689f5582162df3b73da5ce9d62564012ee4125f5526ce4b9,manual_or_collected_source
raw/cases/fastly_rpki_hijack_2024.html,raw,.html,76612,939,False,4bf944511ee6cc5963e7d0a8cd7b5ae9fb5527e84cca600ec2cf98451517f459,manual_or_collected_source
raw/cases/indosat_route_leak_2014.html,raw,.html,162189,3001,False,157f36934c202727a32926d86d09ff70521465a9162c93788fe2b30e0f6a8605,manual_or_collected_source
raw/cases/mainone_google_cloudflare_route_leak_2018.html,raw,.html,299297,96,False,b06d4239d138b006eb7555369ffc02164cd5f71f3c6b042e8d015615def89641,manual_or_collected_source
raw/cases/manrs_bgp_2020_review.html,raw,.html,128141,162,False,fa5280b211b7694163df55e45495dda033e94c4fc8b6531c2c4b0105a27f96f5,manual_or_collected_source
raw/cases/manrs_regional_bgp_incidents_2020.html,raw,.html,114610,162,False,da6fe6107e5bf648394ce1b8a49f05781412b709d0f529305fa0aed449834584,manual_or_collected_source
raw/cases/youtube_hijack_google_2008.html,raw,.html,138421,5067,False,0635394c087ab2cbdd055247d64a4a52139d0e02a52f1cf72d16c8cc7d2eebb2,manual_or_collected_source
raw/data_docs/arin_aspa_doc.html,raw,.html,30358,573,False,6d1b2a847de936a1c796e9d3978e9dfad17771cbdc73a1bfcfdcbd7c08e0c82f,manual_or_collected_source
